id,name,description,category,supersedes,owner,status
UC-001,Plan a mission timeline,Build an end-to-end mission timeline with tasks assigned to assets and crews.,Mission Planning,,Alice,draft
UC-002,Generate candidate routes,Produce ranked route options between waypoints given terrain and threat overlays.,Mission Planning,,Alice,draft
UC-003,Evaluate plan feasibility,Check a draft plan against asset availability and crew duty limits before approval.,Mission Planning,,Alice,draft
UC-004,Rehearse a mission virtually,Step through a planned mission in simulation to spot conflicts before execution.,Mission Planning,,Bob,draft
UC-005,Replan during execution,Modify an in-progress mission when conditions change and push updates to the field.,Mission Planning,,Bob,draft
UC-006,Compare alternative plans,View two candidate plans side by side with cost and risk deltas.,Mission Planning,,Bob,draft
UC-007,Approve a mission plan,Route a completed plan through the required approval chain with digital signoff.,Mission Planning,,Carol,draft
UC-008,Archive completed missions,Preserve executed missions with their as-flown data for later analysis.,Mission Planning,,Carol,draft
UC-009,Import external tasking,Ingest tasking orders from partner systems into the planning workspace.,Mission Planning,,Carol,draft
UC-010,Deconflict shared airspace,Detect and resolve time and space conflicts across concurrent missions.,Mission Planning,,Dave,draft
UC-011,Track asset location,Show live position and status of every asset on a common map.,Asset Management,,Dave,draft
UC-012,Register a new asset,Add a new asset with its configuration and capabilities to the inventory.,Asset Management,,Dave,draft
UC-013,Schedule preventive maintenance,Plan recurring maintenance windows that minimize impact on tasking.,Asset Management,,Erin,draft
UC-014,Report an asset fault,Log a fault from the field with photos and severity for triage.,Asset Management,,Erin,draft
UC-015,Forecast asset availability,Predict which assets will be mission-ready over the next 30 days.,Asset Management,,Erin,draft
UC-016,Manage spare parts,Track spare part stock levels and reorder points across sites.,Asset Management,,Frank,draft
UC-017,Transfer asset custody,Hand an asset off between units with a documented custody chain.,Asset Management,,Frank,draft
UC-018,View asset utilization,See usage hours and tasking load per asset to balance wear.,Asset Management,,Frank,draft
UC-019,Retire an asset,Remove an asset from service and archive its full history.,Asset Management,,Grace,draft
UC-020,Audit asset configuration,Compare an asset's reported configuration against its approved baseline.,Asset Management,,Grace,draft
UC-021,Search historical data,Query archived mission and sensor data by time area and keyword.,Data & Analysis,,Grace,draft
UC-022,Build a trend dashboard,Assemble charts of key metrics that update as new data arrives.,Data & Analysis,,Heidi,draft
UC-023,Export analysis products,Package analysis results into shareable briefing-ready formats.,Data & Analysis,,Heidi,draft
UC-024,Fuse multi-source data,Correlate reports from multiple sensors into a single track picture.,Data & Analysis,,Heidi,draft
UC-025,Annotate imagery,Mark up collected imagery with labels visible to other analysts.,Data & Analysis,,Ivan,draft
UC-026,Generate activity reports,Produce scheduled summary reports of operations for leadership.,Data & Analysis,,Ivan,draft
UC-027,Detect anomalies automatically,Flag unusual patterns in incoming data for analyst review.,Data & Analysis,,Ivan,draft
UC-028,Replay past operations,Play back a recorded operation on the map with full timeline control.,Data & Analysis,,Judy,draft
UC-029,Measure plan vs actual,Quantify how executed missions deviated from their plans.,Data & Analysis,,Judy,draft
UC-030,Tag data for training sets,Curate labeled datasets from operational data for model training.,Data & Analysis,,Judy,draft
UC-031,Send tasking to field units,Deliver approved tasking to field devices with receipt confirmation.,Communications,,Ken,draft
UC-032,Chat with field teams,Exchange secure messages with deployed teams from the operations floor.,Communications,,Ken,draft
UC-033,Broadcast alerts,Push priority alerts to all affected units simultaneously.,Communications,,Ken,draft
UC-034,Share a common operating picture,Give partner organizations a filtered live view of operations.,Communications,,Laura,draft
UC-035,Sync over low bandwidth,Keep field devices usable and synchronized on degraded links.,Communications,,Laura,draft
UC-036,Operate disconnected,Continue local work during comms outages and reconcile on reconnect.,Communications,,Laura,draft
UC-037,Translate message formats,Convert between partner message standards automatically.,Communications,,Mallory,draft
UC-038,Manage distribution lists,Control which roles and units receive which message types.,Communications,,Mallory,draft
UC-039,Acknowledge received orders,Track which recipients have seen and acknowledged each order.,Communications,,Mallory,draft
UC-040,Escalate unanswered requests,Automatically escalate requests that miss response deadlines.,Communications,,Niaj,draft
UC-041,Log in with unit credentials,Authenticate using organization-issued credentials and tokens.,Security & Access,,Niaj,draft
UC-042,Manage user roles,Grant and revoke role-based permissions with an approval trail.,Security & Access,,Niaj,draft
UC-043,Audit user activity,Review a tamper-evident log of who did what and when.,Security & Access,,Olivia,draft
UC-044,Mark data classification,Label data with handling caveats that follow it everywhere.,Security & Access,,Olivia,draft
UC-045,Enforce need-to-know views,Filter every screen to what the current user is cleared to see.,Security & Access,,Olivia,draft
UC-046,Sanitize data for release,Strip sensitive fields from products before external sharing.,Security & Access,,Peggy,draft
UC-047,Recover a locked account,Restore access for a locked-out user through a verified process.,Security & Access,,Peggy,draft
UC-048,Rotate cryptographic keys,Update keys across the system without service interruption.,Security & Access,,Peggy,draft
UC-049,Detect intrusion attempts,Alert security staff to suspicious access patterns in real time.,Security & Access,,Quentin,draft
UC-050,Manage device enrollment,Approve and revoke field devices allowed to connect.,Security & Access,,Quentin,draft
UC-051,Train a new operator,Guide a new operator through core workflows with practice scenarios.,Sustainment & Training,,Quentin,draft
UC-052,Certify operator proficiency,Record completion of required proficiency checks per role.,Sustainment & Training,,Rita,draft
UC-053,Practice in a sandbox,Provide a safe environment with realistic data for experimentation.,Sustainment & Training,,Rita,draft
UC-054,Update system software,Roll out software updates to servers and field devices in stages.,Sustainment & Training,,Rita,draft
UC-055,Monitor system health,Watch service status and resource use with alerting thresholds.,Sustainment & Training,,Sybil,draft
UC-056,Back up and restore,Run scheduled backups and verified restores of critical data.,Sustainment & Training,,Sybil,draft
UC-057,Manage reference data,Maintain shared lookup tables like unit codes and asset types.,Sustainment & Training,,Sybil,draft
UC-058,File a support ticket,Report a system problem and track it to resolution.,Sustainment & Training,,Trent,draft
UC-059,Measure system usage,Report which features are used how often by which roles.,Sustainment & Training,,Trent,draft
UC-060,Onboard a partner organization,Set up a new partner with accounts policies and data shares.,Sustainment & Training,,Trent,draft
