id,name,description,category,supersedes,owner,maturity,sourceDoc
UC-001,Schedule a contact window,Reserve antenna time and configure the ground station for an upcoming satellite pass.,Contact Operations,,jgarcia,baselined,CONOPS-3.1
UC-002,Execute a routine pass,Run a scheduled contact end-to-end: acquire signal downlink telemetry uplink commands release.,Contact Operations,,jgarcia,baselined,CONOPS-3.1
UC-003,Handle a missed pass,Detect a failed acquisition and automatically rebook the next available contact window.,Contact Operations,,jgarcia,draft,CONOPS-3.2
,Command a constellation broadcast,Send one validated command sequence to many satellites over successive passes.,Contact Operations,,mchen,draft,CONOPS-3.4
,Prioritize emergency contacts,Preempt the contact schedule when a spacecraft declares a fault condition.,Contact Operations,,mchen,draft,
,Monitor pass in real time,Watch live telemetry and link quality during a contact with alerting on limit violations.,Contact Operations,,mchen,baselined,CONOPS-3.1
UC-007,Trend spacecraft telemetry,Plot any telemetry channel across weeks or months and overlay related channels.,Fleet Health,,priyap,baselined,SRS-410
UC-008,Detect telemetry anomalies,Flag unusual telemetry patterns automatically for engineer review.,Fleet Health,,priyap,draft,SRS-412
,Manage alert thresholds,Define and version the limit sets that trigger caution and warning alerts.,Fleet Health,,priyap,draft,SRS-415
,Review fleet status at a glance,See health rollup of every satellite on one dashboard with drill-down.,Fleet Health,,tokafor,baselined,SRS-401
,Investigate a fault timeline,Reconstruct the sequence of events telemetry and commands around an anomaly.,Fleet Health,,tokafor,draft,
,Generate health reports,Produce recurring fleet health summaries for the program office.,Fleet Health,,tokafor,draft,SRS-430
,Predict component degradation,,Fleet Health,,tokafor,concept,
UC-014,Plan an orbit maneuver,Design a delta-v maneuver with fuel estimate and updated ephemeris products.,Flight Dynamics,,lnovak,baselined,FD-SPEC-2
UC-015,Screen for conjunctions,Ingest external tracking data and warn on close-approach events.,Flight Dynamics,,lnovak,baselined,FD-SPEC-4
,Maintain orbit knowledge,Update orbit determination from ranging and telemetry after each contact.,Flight Dynamics,,lnovak,baselined,FD-SPEC-1
,Generate pointing products,Compute antenna pointing and pass geometry files for each site and pass.,Flight Dynamics,,lnovak,draft,
,Plan deorbit operations,,Flight Dynamics,,lnovak,concept,
,Coordinate maneuver with partners,Share planned maneuvers with external agencies and deconflict timing.,Flight Dynamics,,dwhite,concept,
,Ingest new mission payload data,Receive process and catalog payload downlink data with quality checks.,Payload & Data,,dwhite,baselined,PDD-1.0
,Task payload collection,Build and validate a payload tasking request against constraints then schedule uplink.,Payload & Data,,dwhite,baselined,PDD-1.2
,Deliver products to users,Package and distribute finished data products to subscribed consumers.,Payload & Data,,dwhite,draft,PDD-2.0
,Reprocess archived data,Re-run processing over historical raw data after algorithm updates.,Payload & Data,,ryamada,draft,
,Monitor processing backlog,Track queue depth latency and failures across the data processing chain.,Payload & Data,,ryamada,draft,PDD-2.3
,Manage data retention,Apply retention and archival policy across raw and derived data stores.,Payload & Data,,ryamada,concept,
UC-026,Authenticate an operator,Log in with enterprise credentials and hardware token.,Security & IA,,sgreen,baselined,IA-100
